.	28	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	28	7173188	7180482	7193882	7224834	7463157	7633439	7811794	7833357	7847640	7867199	7879440	8019544	8309006	8468472	8629817	8742276	8774736	8866406	8973382	9148180	9455314	9937393	10146766	10721480	10896852	11163094	12507204	13335017	14279865	15416215	17140215	18866894	21200489	24323801	31463124	39819150	58987875	123067754	
.	29	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	29	7272547	7280621	7296474	7332416	7584330	7773222	7929734	7944003	7959675	7980443	7994760	8148242	8442536	8586079	8731113	8845177	8880963	8974042	9084098	9270124	9596293	10098416	10315533	10852289	11036454	11307636	12737284	13554396	14450936	15641607	17351455	19271367	21544991	24694397	31997603	40219629	59904152	123067754	
.	30	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	30	7368067	7376515	7394023	7435610	7693601	7911775	8041828	8050812	8067910	8090280	8106658	8291428	8598504	8725557	8862119	8978793	9017541	9118029	9231880	9426787	9803676	10330138	10558144	11066468	11260616	11537714	13136742	13973757	14829895	16169121	17883277	20056632	22302587	25566422	33102973	41245253	60968434	123067754	
.	31	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	31	7461556	7470269	7491608	7549148	7797374	8031839	8135773	8142178	8160938	8185278	8206387	8395425	8705952	8808999	8943207	9060084	9102106	9210589	9333149	9530349	9895763	10432327	10671494	11146829	11351212	11637377	13245246	14083849	14898858	16249491	17927637	20225033	22449806	25745859	33572883	41700693	61758932	123067754	
.	32	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	32	7560539	7569915	7594679	7658265	7911597	8173531	8248913	8254711	8275925	8302600	8327595	8536566	8850587	8930321	9066268	9185361	9230657	9346484	9473973	9678035	10064498	10625700	10878902	11330714	11546792	11842094	13542636	14400129	15181623	16625145	18295722	20777598	22995034	26349205	34336379	42268602	62487292	123067754	
.	33	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	33	7664613	7674179	7706069	7773849	8021104	8295934	8347992	8354069	8377774	8406064	8435446	8663622	8955645	9016120	9152755	9271310	9320093	9442639	9574888	9783754	10170620	10732248	10999588	11422980	11653571	11956667	13683664	14543369	15296318	16831229	18420689	21029191	23214780	26572585	34731974	42619829	63141837	123067754	
.	34	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
